Target;Source;Type;Timestamp
40942;8160;directed;2
303;8209;directed;2
19640;8209;directed;2
40942;8209;directed;2
168733;8209;directed;2
1049755;8209;directed;2
1199;8260;directed;2
4568;8267;directed;2
41747;8267;directed;2
105379;8267;directed;2
116979;8267;directed;2
292256;8267;directed;2
1818091;8267;directed;2
4568;8335;directed;2
947;7125;directed;2
29651;7125;directed;2
167513;7125;directed;2
209262;7125;directed;2
226979;7125;directed;2
242118;7125;directed;2
39367;7131;directed;2
55716;7131;directed;2
9886;7152;directed;2
3049;7182;directed;2
40942;7604;directed;2
177183;8042;directed;2
9333;8209;directed;2
209262;8209;directed;2
8961;8259;directed;2
94127;8260;directed;2
3596;8267;directed;2
4541;8267;directed;2
18766;8267;directed;2
19640;8267;directed;2
40942;8267;directed;2
49120;8267;directed;2
303;8298;directed;2
4541;8335;directed;2
9961;8335;directed;2
94127;8648;directed;2
29482;8902;directed;2
40942;8902;directed;2
68070;8902;directed;2
3318137;8902;directed;2
36468;8925;directed;2
1059949;8925;directed;2
167513;8931;directed;2
23852;8938;directed;2
41559;8938;directed;2
116609;8961;directed;2
127849;8961;directed;2
30044;9236;directed;2
39310;9236;directed;2
40942;9236;directed;2
273619;9236;directed;2
212938;9293;directed;2
53543;9326;directed;2
1900;9333;directed;2
1818091;9364;directed;2
53543;9577;directed;2
10044;9779;directed;2
177183;9779;directed;2
209262;9779;directed;2
53849;9858;directed;2
4541;9888;directed;2
1902;10044;directed;2
3460;10044;directed;2
53543;10044;directed;2
60188;10044;directed;2
8961;10047;directed;2
2068945;10058;directed;2
177183;10227;directed;2
10058;10488;directed;2
13525;10488;directed;2
4568;8902;directed;2
60188;8902;directed;2
105379;8902;directed;2
836391;8902;directed;2
40942;8912;directed;2
44535;8925;directed;2
19640;8961;directed;2
19532;9236;directed;2
45211;9236;directed;2
48328;9236;directed;2
101212;9236;directed;2
159132;9236;directed;2
176267;9236;directed;2
198180;9236;directed;2
397725;9326;directed;2
3460;9333;directed;2
1049755;10488;directed;2
53543;10548;directed;2
49120;10674;directed;2
12166;10840;directed;2
3871;10967;directed;2
244716;11032;directed;2
244809;11032;directed;2
778548;11037;directed;2
1818091;11136;directed;2
1565;11978;directed;2
2738;11978;directed;2
36723;11978;directed;2
55662;11978;directed;2
1084342;12437;directed;2
349207;13063;directed;2
8961;13271;directed;2
44213;9364;directed;2
4541;9577;directed;2
18432;9577;directed;2
1199;9779;directed;2
168941;9886;directed;2
19640;9961;directed;2
856;10044;directed;2
4130;10044;directed;2
14130;10044;directed;2
18766;10044;directed;2
93920;10047;directed;2
70224;10058;directed;2
884982;10058;directed;2
8961;10071;directed;2
985857;8042;directed;2
3917;8150;directed;2
480224;8150;directed;2
778548;8150;directed;2
40942;8174;directed;2
617;8209;directed;2
566757;8209;directed;2
303;8260;directed;2
19640;8260;directed;2
8793;8267;directed;2
29727;8267;directed;2
168733;8267;directed;2
177183;8267;directed;2
224280;8267;directed;2
425866;8267;directed;2
985857;8267;directed;2
1236618;8267;directed;2
30908;8298;directed;2
232765;8793;directed;2
3448;8902;directed;2
6221;8902;directed;2
105379;8925;directed;2
140525;8925;directed;2
49024;13395;directed;2
397725;13395;directed;2
8961;14005;directed;2
177183;14005;directed;2
32626;14154;directed;2
40942;14235;directed;2
4013299;14501;directed;2
6240;14637;directed;2
40942;14637;directed;2
985857;14765;directed;2
778548;10227;directed;2
3444046;10227;directed;2
9521;10482;directed;2
3460;10488;directed;2
6400;10488;directed;2
8961;10488;directed;2
53543;10488;directed;2
177183;10488;directed;2
244716;10488;directed;2
1236618;10488;directed;2
40942;10967;directed;2
557373;10967;directed;2
25655;11032;directed;2
33442;11037;directed;2
185342;11037;directed;2
244716;11037;directed;2
425866;11961;directed;2
651;11978;directed;2
36754;11978;directed;2
884982;11978;directed;2
8961;11994;directed;2
19932;12202;directed;2
74503;12202;directed;2
1994427;13063;directed;2
916626;13395;directed;2
74661;13753;directed;2
985857;14005;directed;2
3448;14410;directed;2
1059949;14501;directed;2
1236618;14765;directed;2
28274;14825;directed;2
148550;14955;directed;2
1183289;14955;directed;2
841624;14957;directed;2
2259;15030;directed;2
11967;15341;directed;2
18432;15341;directed;2
66696;15341;directed;2
89699;15341;directed;2
296789;15341;directed;2
18432;16480;directed;2
35218;16507;directed;2
51079;14955;directed;2
8961;14957;directed;2
24239;15030;directed;2
24358;15030;directed;2
73646;15030;directed;2
1327;15341;directed;2
2259;15341;directed;2
3049;15341;directed;2
4203;15341;directed;2
231009;15341;directed;2
172487;15383;directed;2
1329154;15750;directed;2
884982;16065;directed;2
177183;16162;directed;2
1199;16391;directed;2
185342;16391;directed;2
10672;17141;directed;2
40942;17141;directed;2
227858;17141;directed;2
49848;17413;directed;2
2227468;16507;directed;2
303;17031;directed;2
44295;17141;directed;2
1059949;17141;directed;2
110954;17374;directed;2
8259;17413;directed;2
55621;17413;directed;2
65645;17597;directed;2
90473;17597;directed;2
68070;17684;directed;2
4130;17715;directed;2
49120;17715;directed;2
2856;17759;directed;2
48328;17759;directed;2
53543;17759;directed;2
1547151;17759;directed;2
69114;17972;directed;2
33442;18021;directed;2
59315;18188;directed;2
40942;8931;directed;2
6426;8961;directed;2
6070;9236;directed;2
28732;9236;directed;2
53131;9236;directed;2
24239;9326;directed;2
8209;9333;directed;2
24239;9333;directed;2
143477;9333;directed;2
243543;9689;directed;2
13524;9779;directed;2
1236618;17413;directed;2
12371;17597;directed;2
80;17715;directed;2
163730;17715;directed;2
44090;17716;directed;2
3860;17759;directed;2
320704;17759;directed;2
17700;17972;directed;2
1818091;17972;directed;2
192416;18021;directed;2
304996;18556;directed;2
425866;18556;directed;2
985857;18556;directed;2
177049;18564;directed;2
31977;18570;directed;2
177183;18719;directed;2
23263;18767;directed;2
27553;18508;directed;2
259551;18556;directed;2
480224;18556;directed;2
94127;18564;directed;2
340208;18564;directed;2
3596;18689;directed;2
1049755;18719;directed;2
11967;18767;directed;2
32730;18767;directed;2
65645;18767;directed;2
177183;18860;directed;2
116979;18930;directed;2
480224;19076;directed;2
916626;19076;directed;2
3969;19455;directed;2
311830;20020;directed;2
1413015;20157;directed;2
2760043;20180;directed;2
153043;21370;directed;2
2879428;22657;directed;2
143123;22693;directed;2
41747;22907;directed;2
104557;22907;directed;2
111902;22907;directed;2
60188;23005;directed;2
122410;23005;directed;2
19640;23250;directed;2
1049755;23250;directed;2
89643;23254;directed;2
989;23257;directed;2
365553;23309;directed;2
74661;23614;directed;2
1954;24239;directed;2
89643;24239;directed;2
137572;24239;directed;2
3750596;24239;directed;2
40942;25472;directed;2
8339;25489;directed;2
1954;18898;directed;2
1199;18930;directed;2
557373;19167;directed;2
8961;19455;directed;2
60188;19455;directed;2
95317;19455;directed;2
205702;19455;directed;2
292256;19455;directed;2
304942;19455;directed;2
1873180;19455;directed;2
2760043;19455;directed;2
8260;19640;directed;2
8961;19640;directed;2
2808;20020;directed;2
397725;20180;directed;2
3444046;20180;directed;2
8961;20189;directed;2
8961;20472;directed;2
25578;26189;directed;2
32414;26243;directed;2
33442;26243;directed;2
40942;26243;directed;2
68070;26243;directed;2
267860;26547;directed;2
8961;26566;directed;2
2522079;27544;directed;2
86792;28405;directed;2
10058;28798;directed;2
44949;28798;directed;2
53543;29055;directed;2
60188;29055;directed;2
232765;9779;directed;2
778548;9779;directed;2
40942;9858;directed;2
100212;9886;directed;2
836391;9886;directed;2
6931;9888;directed;2
48889;9888;directed;2
480224;9888;directed;2
24239;9930;directed;2
168948;9930;directed;2
1236618;9930;directed;2
3662;10044;directed;2
292256;10044;directed;2
8961;10058;directed;2
44949;10058;directed;2
197105;10227;directed;2
1049755;10227;directed;2
1547151;10227;directed;2
232765;10338;directed;2
6070;22041;directed;2
55662;22907;directed;2
84011;22907;directed;2
8961;23250;directed;2
169008;23250;directed;2
220209;23250;directed;2
292256;23250;directed;2
30720;23254;directed;2
49123;23257;directed;2
750667;23275;directed;2
143477;23402;directed;2
29285;23548;directed;2
122410;23579;directed;2
47475;23858;directed;2
686;24239;directed;2
317805;30172;directed;2
1236618;30172;directed;2
3088;30908;directed;2
69994;30908;directed;2
778548;31284;directed;2
985857;31284;directed;2
303;32592;directed;2
3596;32626;directed;2
150604;33035;directed;2
244716;33234;directed;2
3871;33237;directed;2
3575;24239;directed;2
3620;24239;directed;2
9326;24239;directed;2
11987;24239;directed;2
23683;24239;directed;2
30720;24239;directed;2
34369;24239;directed;2
48128;24239;directed;2
93594;24239;directed;2
140456;24239;directed;2
161540;24239;directed;2
180986;24239;directed;2
197585;24239;directed;2
224280;24239;directed;2
40942;24612;directed;2
83017;24886;directed;2
100541;25771;directed;2
12987;26189;directed;2
4725;26243;directed;2
29727;26243;directed;2
193794;26243;directed;2
778548;26243;directed;2
303;26331;directed;2
19640;26331;directed;2
49024;26331;directed;2
932682;27543;directed;2
8961;27561;directed;2
4013299;27673;directed;2
92549;28183;directed;2
14637;33442;directed;2
8961;34219;directed;2
53543;34219;directed;2
124235;34219;directed;2
177183;34219;directed;2
2760043;34219;directed;2
55716;34383;directed;2
53131;34389;directed;2
105379;34389;directed;2
148885;34389;directed;2
100787;35343;directed;2
557373;35468;directed;2
2760043;35758;directed;2
109916;35945;directed;2
11978;36462;directed;2
12744;36486;directed;2
99629;36486;directed;2
123259;36486;directed;2
53131;10488;directed;2
566757;10488;directed;2
778548;10488;directed;2
69994;10674;directed;2
7736;11032;directed;2
36768;11032;directed;2
8961;11471;directed;2
397725;11961;directed;2
916626;11961;directed;2
182384;11978;directed;2
39727;28494;directed;2
264232;29081;directed;2
17759;29128;directed;2
7736;29285;directed;2
15859;29368;directed;2
8961;29382;directed;2
6077888;30172;directed;2
177183;31284;directed;2
916626;31284;directed;2
985857;31977;directed;2
177183;36493;directed;2
100787;36496;directed;2
8961;36560;directed;2
24612;36560;directed;2
53543;36560;directed;2
